system   D            wsystem.c:583  maybe_parent_dir                 [   0.00083] Also searching C:\Users\Ted\Desktop\Allegro Game - Copy (2)\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00120] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00124] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00432] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.03828] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.03836] Allegro version: 5.0.8
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.04012] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.04017] al_display=0279A238
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.04020] al_display->vt=02798EF8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05047] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.05054] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05058] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05061] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05065] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05067] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05071] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05074] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05077] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05080] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05083] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05086] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05090] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05092] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05096] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05099] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05103] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05105] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05109] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05112] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05115] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05118] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05122] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05124] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05134] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05137] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05139] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05141] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05144] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05146] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05148] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05150] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05152] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05154] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05157] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05159] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05161] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05163] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05166] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05168] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05170] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05172] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05174] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05176] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05178] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05180] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05183] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05184] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05187] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05189] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05191] Score is : 897
